glyph_name,ps_name,sort_final,sort_design
uniA81EA806A80A,uniA81EA806A80A,5065,5065
uniA81EA806A80C,uniA81EA806A80C,5066,5066
uniA81EA806A812,uniA81EA806A812,5067,5067
uniA81EA806A814,uniA81EA806A814,5068,5068
uniA81EA806A815,uniA81EA806A815,5069,5069
uniA81EA806A818,uniA81EA806A818,5070,5070
uniA81EA806A81B,uniA81EA806A81B,5071,5071
uniA81EA806A81C,uniA81EA806A81C,5072,5072
uniA81F.half,uniA81F.half,5073,5073
uniA81FA806A810,uniA81FA806A810,5074,5074
uniA81FA806A812,uniA81FA806A812,5075,5075
uniA81FA806A819,uniA81FA806A819,5076,5076
uniA81FA806A81F,uniA81FA806A81F,5077,5077
uniA821.half,uniA821.half,5078,5078
uniA821A806A807,uniA821A806A807,5079,5079
uniA821A806A80C,uniA821A806A80C,5080,5080
uniA821A806A80D,uniA821A806A80D,5081,5081
uniA821A806A810,uniA821A806A810,5082,5082
uniA821A806A811,uniA821A806A811,5083,5083
uniA821A806A814,uniA821A806A814,5084,5084
uniA821A806A815,uniA821A806A815,5085,5085
uniA821A806A81B,uniA821A806A81B,5086,5086
uniA821A806A821,uniA821A806A821,5087,5087
uniA822A806A81E,uniA822A806A81E,5088,5088
uniA825.Do,uniA825.Do,5089,5089
uniA825.left,uniA825.left,5090,5090
uniA826.left,uniA826.left,5091,5091
uniA826.mid,uniA826.mid,5092,5092
uniA826A80B,uniA826A80B,5093,5093
uniA827A80B,uniA827A80B,5094,5094
fi,fi,8001,18001
fl,fl,8002,18002
uniFE00,uniFE00,9001,19001
uniFE01,uniFE01,9002,19002
uniFE02,uniFE02,9003,19003
uniFE03,uniFE03,9004,19004
uniFE04,uniFE04,9005,19005
uniFE05,uniFE05,9006,19006
uniFE06,uniFE06,9007,19007
uniFE07,uniFE07,9008,19008
uniFE08,uniFE08,9009,19009
uniFE09,uniFE09,9010,19010
uniFE0A,uniFE0A,9011,19011
uniFE0B,uniFE0B,9012,19012
uniFE0C,uniFE0C,9013,19013
uniFE0D,uniFE0D,9014,19014
uniFE0E,uniFE0E,9015,19015
uniFE0F,uniFE0F,9016,19016
uniFEFF,uniFEFF,9017,19017
uniFFFC,uniFFFC,9018,19018
uniFFFD,uniFFFD,9019,19019
